"Code","Name","Alternative code","Formulation","Alternative name","Alternative formulation","Really equivalent?"
0101010R0AAAAAA,Simeticone 100mg capsules,0101010R0BHAAAA,,WindSetlers 100mg capsules,,Y
0101010R0AAABAB,Simeticone 40mg/ml oral suspension sugar free,0101010R0BCAAAB,,Infacol 40mg/ml oral suspension,,Y
0101010R0AAADAD,Simeticone 42mg/5ml oral drops,0101010R0BEAAAD,,Dentinox Infant colic drops,,Y
0101010R0BCAAAB,Infacol 40mg/ml oral suspension,0101010R0AAABAB,,Simeticone 40mg/ml oral suspension sugar free,,Y
0101010R0BEAAAD,Dentinox Infant colic drops,0101010R0AAADAD,,Simeticone 42mg/5ml oral drops,,Y
0101010R0BHAAAA,WindSetlers 100mg capsules,0101010R0AAAAAA,,Simeticone 100mg capsules,,Y
0101010U0AAAAAA,Sodium citrate 441.17mg/5ml oral solution,0704030J0AAAJAJ,Oral solution,Sodium citrate 441.15mg/5ml oral solution,Oral solution,Y
0101010U0AAAAAA,Sodium citrate 441.17mg/5ml oral solution,0101010U0BBAAAA,,Sodium citrate 0.3M oral solution,,Y
0101010U0BBAAAA,Sodium citrate 0.3M oral solution,0101010U0AAAAAA,,Sodium citrate 441.17mg/5ml oral solution,,Y
0101012A0AAAAAA,Sodium bicarbonate 52.5mg/5ml / Terpeneless dill seed oil 2.3mg/5ml oral solution sugar free,0101012A0BBAAAA,,Woodward's gripe water,,Y
0101012A0BBAAAA,Woodward's gripe water,0101012A0AAAAAA,,Sodium bicarbonate 52.5mg/5ml / Terpeneless dill seed oil 2.3mg/5ml oral solution sugar free,,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0AAAUAU,Oral solution sugar free,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,Oral solution,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0AAAUAU,Oral solution sugar free,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,Oral suspension,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0BCAAAB,,SodiBic 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0BGAAAB,,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0BIAAAB,,Thamicarb 84mg/1ml oral solution,,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0BJAAAB,,EssCarb 84mg/1ml oral solution,,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0BMAAAB,,BiCarb 84mg/1ml oral solution,,Y
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,0101012B0AAABAB,Oral solution,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,Oral solution sugar free,Y
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,0101012B0AAABAB,Oral suspension,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,Oral solution sugar free,Y
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,0101012B0BFAAAU,,S-Bicarb 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0AABSBS,Sodium bicarbonate 50mg/5ml oral suspension,0101012B0AABXBX,Oral suspension,Sodium bicarbonate 50mg/5ml oral solution,Oral solution,Y
0101012B0AABXBX,Sodium bicarbonate 50mg/5ml oral solution,0101012B0AABSBS,Oral solution,Sodium bicarbonate 50mg/5ml oral suspension,Oral suspension,Y
0101012B0BCAAAB,SodiBic 420mg/5ml (1mmol/ml) oral solution,0101012B0AAABAB,,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,,Y
0101012B0BCAAAB,SodiBic 420mg/5ml (1mmol/ml) oral solution,0101012B0BGAAAB,,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BCAAAB,SodiBic 420mg/5ml (1mmol/ml) oral solution,0101012B0BIAAAB,,Thamicarb 84mg/1ml oral solution,,Y
0101012B0BCAAAB,SodiBic 420mg/5ml (1mmol/ml) oral solution,0101012B0BJAAAB,,EssCarb 84mg/1ml oral solution,,Y
0101012B0BCAAAB,SodiBic 420mg/5ml (1mmol/ml) oral solution,0101012B0BMAAAB,,BiCarb 84mg/1ml oral solution,,Y
0101012B0BFAAAU,S-Bicarb 420mg/5ml (1mmol/ml) oral solution,0101012B0AAAUAU,,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BGAAAB,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,0101012B0AAABAB,,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,,Y
0101012B0BGAAAB,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,0101012B0BCAAAB,,SodiBic 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BGAAAB,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,0101012B0BIAAAB,,Thamicarb 84mg/1ml oral solution,,Y
0101012B0BGAAAB,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,0101012B0BJAAAB,,EssCarb 84mg/1ml oral solution,,Y
0101012B0BGAAAB,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,0101012B0BMAAAB,,BiCarb 84mg/1ml oral solution,,Y
0101012B0BIAAAB,Thamicarb 84mg/1ml oral solution,0101012B0AAABAB,,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,,Y
0101012B0BIAAAB,Thamicarb 84mg/1ml oral solution,0101012B0BCAAAB,,SodiBic 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BIAAAB,Thamicarb 84mg/1ml oral solution,0101012B0BGAAAB,,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BIAAAB,Thamicarb 84mg/1ml oral solution,0101012B0BJAAAB,,EssCarb 84mg/1ml oral solution,,Y
0101012B0BIAAAB,Thamicarb 84mg/1ml oral solution,0101012B0BMAAAB,,BiCarb 84mg/1ml oral solution,,Y
0101012B0BJAAAB,EssCarb 84mg/1ml oral solution,0101012B0AAABAB,,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,,Y
0101012B0BJAAAB,EssCarb 84mg/1ml oral solution,0101012B0BCAAAB,,SodiBic 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BJAAAB,EssCarb 84mg/1ml oral solution,0101012B0BGAAAB,,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BJAAAB,EssCarb 84mg/1ml oral solution,0101012B0BIAAAB,,Thamicarb 84mg/1ml oral solution,,Y
0101012B0BJAAAB,EssCarb 84mg/1ml oral solution,0101012B0BMAAAB,,BiCarb 84mg/1ml oral solution,,Y
0101012B0BMAAAB,BiCarb 84mg/1ml oral solution,0101012B0AAABAB,,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,,Y
0101012B0BMAAAB,BiCarb 84mg/1ml oral solution,0101012B0BCAAAB,,SodiBic 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BMAAAB,BiCarb 84mg/1ml oral solution,0101012B0BGAAAB,,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution,,Y
0101012B0BMAAAB,BiCarb 84mg/1ml oral solution,0101012B0BIAAAB,,Thamicarb 84mg/1ml oral solution,,Y
0101012B0BMAAAB,BiCarb 84mg/1ml oral solution,0101012B0BJAAAB,,EssCarb 84mg/1ml oral solution,,Y
010102100AAAFAF,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,010102100AAAHAH,Chewable tablet,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets sugar free,Chewable tablet sugar free,Y
010102100AAAFAF,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,010102100BBAQAF,,Rennie Peppermint chewable tablets,,Y
010102100AAAFAF,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,010102100BBARAF,,Rennie Spearmint chewable tablets,,Y
010102100AAAGAG,Bismuth subsalicylate 17.5mg/1ml oral suspension sugar free,010102100BBAWAG,,Pepto-Bismol 17.5mg/1ml oral suspension,,Y
010102100AAAHAH,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets sugar free,010102100AAAFAF,Chewable tablet sugar free,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,Chewable tablet,Y
010102100AAAHAH,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets sugar free,010102100BBBAAH,,Rennie Sugar Free chewable tablets,,Y
010102100AAAIAI,Bismuth subsalicylate 262.5mg chewable tablets sugar free,010102100BBBDAI,,Pepto-Bismol 262.5mg chewable tablets,,Y
010102100BBAQAF,Rennie Peppermint chewable tablets,010102100AAAFAF,,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,,Y
010102100BBAQAF,Rennie Peppermint chewable tablets,010102100BBARAF,,Rennie Spearmint chewable tablets,,Y
010102100BBARAF,Rennie Spearmint chewable tablets,010102100AAAFAF,,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,,Y
010102100BBARAF,Rennie Spearmint chewable tablets,010102100BBAQAF,,Rennie Peppermint chewable tablets,,Y
010102100BBAWAG,Pepto-Bismol 17.5mg/1ml oral suspension,010102100AAAGAG,,Bismuth subsalicylate 17.5mg/1ml oral suspension sugar free,,Y
010102100BBBAAH,Rennie Sugar Free chewable tablets,010102100AAAHAH,,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets sugar free,,Y
010102100BBBDAI,Pepto-Bismol 262.5mg chewable tablets,010102100AAAIAI,,Bismuth subsalicylate 262.5mg chewable tablets sugar free,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BEACAH,,Gaviscon Original Aniseed Relief,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BEAFAH,,Gaviscon Peppermint Liquid Relief,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BIAAAH,,Peptac liquid aniseed,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BIABAH,,Peptac liquid peppermint,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BJABAH,,Rennie Liquid Heartburn Relief oral suspension,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BQAAAH,,Acidex oral suspension aniseed,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BQABAH,,Acidex oral suspension peppermint,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BSAAAH,,Boots Heartburn Relief liquid peppermint,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BSABAH,,Boots Heartburn Relief liquid aniseed,,Y
0101021B0AAAHAH,Alginate raft-forming oral suspension sugar free,0101021B0BTAAAH,,Care Heartburn Relief oral suspension,,Y
0101021B0AAAJAJ,Sodium alginate 225mg/dose / Magnesium alginate 87.5mg/dose oral powder sachets sugar free,0101021B0BEADAJ,,Gaviscon Infant oral powder sachets,,Y
0101021B0AAALAL,Sodium alginate 500mg/5ml / Potassium bicarbonate 100mg/5ml oral suspension sugar free,0101021B0BEAIAL,,Gaviscon Advance oral suspension aniseed,,Y
0101021B0AAALAL,Sodium alginate 500mg/5ml / Potassium bicarbonate 100mg/5ml oral suspension sugar free,0101021B0BEBEAL,,Gaviscon Advance oral suspension peppermint,,Y
0101021B0AAALAL,Sodium alginate 500mg/5ml / Potassium bicarbonate 100mg/5ml oral suspension sugar free,0101021B0BQACAL,,Acidex Advance oral suspension aniseed,,Y
0101021B0AAALAL,Sodium alginate 500mg/5ml / Potassium bicarbonate 100mg/5ml oral suspension sugar free,0101021B0BQADAL,,Acidex Advance oral suspension peppermint,,Y
0101021B0AAALAL,Sodium alginate 500mg/5ml / Potassium bicarbonate 100mg/5ml oral suspension sugar free,0101021B0BSACAL,,Boots Advance Heartburn & Indigestion Relief 1000mg/200mg/10ml oral suspension,,Y
0101021B0AAAPAP,Sodium alginate 500mg / Potassium bicarbonate 100mg chewable tablets sugar free,0101021B0BEAQAP,,Gaviscon Advance Mint chewable tablets,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0AAAHAH,,Alginate raft-forming oral suspension sugar free,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BEAFAH,,Gaviscon Peppermint Liquid Relief,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BIAAAH,,Peptac liquid aniseed,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BIABAH,,Peptac liquid peppermint,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BJABAH,,Rennie Liquid Heartburn Relief oral suspension,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BQAAAH,,Acidex oral suspension aniseed,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BQABAH,,Acidex oral suspension peppermint,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BSAAAH,,Boots Heartburn Relief liquid peppermint,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BSABAH,,Boots Heartburn Relief liquid aniseed,,Y
0101021B0BEACAH,Gaviscon Original Aniseed Relief,0101021B0BTAAAH,,Care Heartburn Relief oral suspension,,Y
0101021B0BEADAJ,Gaviscon Infant oral powder sachets,0101021B0AAAJAJ,,Sodium alginate 225mg/dose / Magnesium alginate 87.5mg/dose oral powder sachets sugar free,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0AAAHAH,,Alginate raft-forming oral suspension sugar free,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BEACAH,,Gaviscon Original Aniseed Relief,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BIAAAH,,Peptac liquid aniseed,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BIABAH,,Peptac liquid peppermint,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BJABAH,,Rennie Liquid Heartburn Relief oral suspension,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BQAAAH,,Acidex oral suspension aniseed,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BQABAH,,Acidex oral suspension peppermint,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BSAAAH,,Boots Heartburn Relief liquid peppermint,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BSABAH,,Boots Heartburn Relief liquid aniseed,,Y
0101021B0BEAFAH,Gaviscon Peppermint Liquid Relief,0101021B0BTAAAH,,Care Heartburn Relief oral suspension,,Y
0101021B0BEAIAL,Gaviscon Advance oral suspension aniseed,0101021B0AAALAL,,Sodium alginate 500mg/5ml / Potassium bicarbonate 100mg/5ml oral suspension sugar free,,Y
0101021B0BEAIAL,Gaviscon Advance oral suspension aniseed,0101021B0BEBEAL,,Gaviscon Advance oral suspension peppermint,,Y
0101021B0BEAIAL,Gaviscon Advance oral suspension aniseed,0101021B0BQACAL,,Acidex Advance oral suspension aniseed,,Y
0101021B0BEAIAL,Gaviscon Advance oral suspension aniseed,0101021B0BQADAL,,Acidex Advance oral suspension peppermint,,Y
0101021B0BEAIAL,Gaviscon Advance oral suspension aniseed,0101021B0BSACAL,,Boots Advance Heartburn & Indigestion Relief 1000mg/200mg/10ml oral suspension,,Y
0101021B0BEAQAP,Gaviscon Advance Mint chewable tablets,0101021B0AAAPAP,,Sodium alginate 500mg / Potassium bicarbonate 100mg chewable tablets sugar free,,Y
0101021B0BEBEAL,Gaviscon Advance oral suspension peppermint,0101021B0AAALAL,,Sodium alginate 500mg/5ml / Potassium bicarbonate 100mg/5ml oral suspension sugar free,,Y
0101021B0BEBEAL,Gaviscon Advance oral suspension peppermint,0101021B0BEAIAL,,Gaviscon Advance oral suspension aniseed,,Y
0101021B0BEBEAL,Gaviscon Advance oral suspension peppermint,0101021B0BQACAL,,Acidex Advance oral suspension aniseed,,Y
0101021B0BEBEAL,Gaviscon Advance oral suspension peppermint,0101021B0BQADAL,,Acidex Advance oral suspension peppermint,,Y
0101021B0BEBEAL,Gaviscon Advance oral suspension peppermint,0101021B0BSACAL,,Boots Advance Heartburn & Indigestion Relief 1000mg/200mg/10ml oral suspension,,Y
0101021B0BIAAAH,Peptac liquid aniseed,0101021B0AAAHAH,,Alginate raft-forming oral suspension sugar free,,Y
0101021B0BIAAAH,Peptac liquid aniseed,0101021B0BEACAH,,Gaviscon Original Aniseed Relief,,Y
0101021B0BIAAAH,Peptac liquid aniseed,0101021B0BEAFAH,,Gaviscon Peppermint Liquid Relief,,Y
0101021B0BIAAAH,Peptac liquid aniseed,0101021B0BIABAH,,Peptac liquid peppermint,,Y
0101021B0BIAAAH,Peptac liquid aniseed,0101021B0BJABAH,,Rennie Liquid Heartburn Relief oral suspension,,Y
0101021B0BIAAAH,Peptac liquid aniseed,0101021B0BQAAAH,,Acidex oral suspension aniseed,,Y
